direction,epoch_budget,F,mean_runtime_sec,mean_runtime_min,num_runs
vehicles1->vehicles2,30,0,33.35771428571429,0.5559999999999999,7
vehicles1->vehicles2,30,1,34.191428571428574,0.5700000000000001,7
vehicles1->vehicles2,30,2,34.513714285714286,0.5751428571428571,7
vehicles1->vehicles2,30,3,31.94666666666667,0.5326666666666667,3
vehicles1->vehicles2,30,4,33.52314285714286,0.5587142857142857,7
vehicles1->vehicles2,30,6,35.1325,0.58575,4
vehicles1->vehicles2,30,8,34.545,0.5760000000000001,2
vehicles1->vehicles2,40,0,43.84685714285714,0.7307142857142858,7
vehicles1->vehicles2,40,1,43.94942857142858,0.7327142857142857,7
vehicles1->vehicles2,40,2,44.70557142857143,0.745142857142857,7
vehicles1->vehicles2,40,3,42.56666666666667,0.7093333333333334,3
vehicles1->vehicles2,40,4,44.18485714285714,0.7364285714285714,7
vehicles1->vehicles2,40,6,45.858999999999995,0.76425,4
vehicles1->vehicles2,40,8,45.082,0.7515000000000001,2
vehicles1->vehicles2,50,0,54.50385714285714,0.9084285714285715,7
vehicles1->vehicles2,50,1,55.561,0.9259999999999999,7
vehicles1->vehicles2,50,2,55.351285714285716,0.9224285714285714,7
vehicles1->vehicles2,50,3,52.362,0.8726666666666666,3
vehicles1->vehicles2,50,4,54.49228571428572,0.9084285714285715,7
vehicles1->vehicles2,50,6,56.972249999999995,0.9495,4
vehicles1->vehicles2,50,8,57.079,0.951,2
vehicles1->vehicles2,60,0,60.59385714285714,1.0097142857142856,7
vehicles1->vehicles2,60,1,61.72128571428571,1.0287142857142857,7
vehicles1->vehicles2,60,2,61.893857142857144,1.0314285714285714,7
vehicles1->vehicles2,60,3,57.65233333333333,0.961,3
vehicles1->vehicles2,60,4,61.005714285714284,1.016857142857143,7
vehicles1->vehicles2,60,6,62.5085,1.042,4
vehicles1->vehicles2,60,8,61.744,1.029,2
vehicles1->vehicles2,80,0,85.17478571428572,1.4195714285714285,14
vehicles1->vehicles2,80,1,89.02414285714285,1.4836428571428573,14
vehicles1->vehicles2,80,2,88.72985714285714,1.4788571428571429,14
vehicles1->vehicles2,80,3,83.32983333333333,1.389,6
vehicles1->vehicles2,80,4,89.298,1.488357142857143,14
vehicles1->vehicles2,80,6,91.63925,1.5275,8
vehicles1->vehicles2,80,8,91.66125,1.5277500000000002,4
vehicles1->vehicles2,100,0,108.21285714285715,1.8035714285714286,7
vehicles1->vehicles2,100,1,109.91157142857142,1.8318571428571429,7
vehicles1->vehicles2,100,2,110.91185714285714,1.8485714285714285,7
vehicles1->vehicles2,100,3,102.69133333333333,1.7116666666666667,3
vehicles1->vehicles2,100,4,109.0067142857143,1.816857142857143,7
vehicles1->vehicles2,100,6,111.82675,1.86375,4
vehicles1->vehicles2,100,8,111.87049999999999,1.8645,2
vehicles2->vehicles1,50,0,53.65014285714285,0.894,7
vehicles2->vehicles1,50,1,54.62657142857143,0.9104285714285714,7
vehicles2->vehicles1,50,2,55.16014285714285,0.9191428571428572,7
vehicles2->vehicles1,50,3,51.58833333333333,0.86,3
vehicles2->vehicles1,50,4,54.353,0.9058571428571429,7
vehicles2->vehicles1,50,6,55.97725,0.9329999999999999,4
vehicles2->vehicles1,50,8,55.6475,0.9275,2
vehicles2->vehicles1,60,0,64.81842857142858,1.0802857142857143,7
vehicles2->vehicles1,60,1,65.35814285714285,1.0892857142857142,7
vehicles2->vehicles1,60,2,65.3487142857143,1.089,7
vehicles2->vehicles1,60,3,61.47566666666666,1.0243333333333333,3
vehicles2->vehicles1,60,4,64.06814285714286,1.068,7
vehicles2->vehicles1,60,6,67.032,1.1172499999999999,4
vehicles2->vehicles1,60,8,66.264,1.1045,2
vehicles2->vehicles1,80,0,88.08914285714286,1.4682857142857144,7
vehicles2->vehicles1,80,1,82.266,1.371,1
vehicles2->vehicles1,80,2,81.722,1.362,1
vehicles2->vehicles1,80,3,79.363,1.323,1
vehicles2->vehicles1,80,4,83.30566666666667,1.3883333333333334,3
vehicles2->vehicles1,80,6,90.50999999999999,1.5085000000000002,2
vehicles2->vehicles1,80,8,90.89949999999999,1.5150000000000001,2
vehicles2->vehicles1,100,0,108.08957142857142,1.8014285714285714,7
vehicles2->vehicles1,100,1,109.46085714285714,1.8242857142857143,7
vehicles2->vehicles1,100,2,109.68857142857142,1.8281428571428573,7
vehicles2->vehicles1,100,3,103.73633333333333,1.729,3
vehicles2->vehicles1,100,4,108.76185714285714,1.8127142857142857,7
vehicles2->vehicles1,100,6,111.65575,1.86075,4
vehicles2->vehicles1,100,8,111.1195,1.852,2
