pair_family,pair_id,source_task,target_task,num_experts,top_k,fixed_k,mean_acc,std_acc,mean_delta_vs_dynamic,num_runs
p01,p01_vehicles1_to_vehicles2,vehicles1,vehicles2,8,4,0,0.6539999985694885,,0.6539999985694885,1
p01,p01_vehicles1_to_vehicles2,vehicles1,vehicles2,8,4,1,0.6840000033378602,,0.6840000033378602,1
p01,p01_vehicles1_to_vehicles2,vehicles1,vehicles2,8,4,2,0.6639999985694885,,0.6639999985694885,1
p01,p01_vehicles1_to_vehicles2,vehicles1,vehicles2,8,4,3,0.677999993801117,,0.677999993801117,1
p01,p01_vehicles1_to_vehicles2,vehicles1,vehicles2,8,4,4,0.6680000052452088,,0.6680000052452088,1
p01,p01_vehicles1_to_vehicles2,vehicles1,vehicles2,16,4,0,0.6499999985694885,,0.6499999985694885,1
p01,p01_vehicles1_to_vehicles2,vehicles1,vehicles2,16,4,1,0.6959999933242798,,0.6959999933242798,1
p01,p01_vehicles1_to_vehicles2,vehicles1,vehicles2,16,4,2,0.6999999957084656,,0.6999999957084656,1
p01,p01_vehicles1_to_vehicles2,vehicles1,vehicles2,16,4,3,0.6799999961853027,,0.6799999961853027,1
p01,p01_vehicles1_to_vehicles2,vehicles1,vehicles2,16,4,4,0.6760000052452088,,0.6760000052452088,1
p01,p01_vehicles1_to_vehicles2,vehicles1,vehicles2,16,6,0,0.6920000028610229,,0.6920000028610229,1
p01,p01_vehicles1_to_vehicles2,vehicles1,vehicles2,16,6,1,0.7279999933242798,,0.7279999933242798,1
p01,p01_vehicles1_to_vehicles2,vehicles1,vehicles2,16,6,2,0.655999993801117,,0.655999993801117,1
p01,p01_vehicles1_to_vehicles2,vehicles1,vehicles2,16,6,4,0.7039999980926513,,0.7039999980926513,1
p01,p01_vehicles1_to_vehicles2,vehicles1,vehicles2,16,6,6,0.6520000009536743,,0.6520000009536743,1
p01,p01_vehicles1_to_vehicles2,vehicles1,vehicles2,16,8,0,0.7280000023841858,,0.7280000023841858,1
p01,p01_vehicles1_to_vehicles2,vehicles1,vehicles2,16,8,1,0.7180000023841858,,0.7180000023841858,1
p01,p01_vehicles1_to_vehicles2,vehicles1,vehicles2,16,8,2,0.6860000004768372,,0.6860000004768372,1
p01,p01_vehicles1_to_vehicles2,vehicles1,vehicles2,16,8,4,0.7139999980926514,,0.7139999980926514,1
p01,p01_vehicles1_to_vehicles2,vehicles1,vehicles2,16,8,6,0.6980000052452088,,0.6980000052452088,1
p01,p01_vehicles1_to_vehicles2,vehicles1,vehicles2,16,8,8,0.6560000009536743,,0.6560000009536743,1
p01,p01_vehicles1_to_vehicles2,vehicles1,vehicles2,32,4,0,0.6640000052452087,,0.6640000052452087,1
p01,p01_vehicles1_to_vehicles2,vehicles1,vehicles2,32,4,1,0.6820000052452088,,0.6820000052452088,1
p01,p01_vehicles1_to_vehicles2,vehicles1,vehicles2,32,4,2,0.671999993801117,,0.671999993801117,1
p01,p01_vehicles1_to_vehicles2,vehicles1,vehicles2,32,4,3,0.6800000014305114,,0.6800000014305114,1
p01,p01_vehicles1_to_vehicles2,vehicles1,vehicles2,32,4,4,0.6760000052452088,,0.6760000052452088,1
