run_id,pair_id,source_task,target_task,epoch,seed,mode,E,K,F,best_val_epoch,best_test_acc_at_best_val_epoch,true_max_test_acc,epoch_of_true_max_test_acc,final_test_acc
dyn_vehicles1_to_vehicles2_E8_K4_ep30_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,30,1,target_dynamic,8,4,0,28,0.8099999928474426,0.8099999928474426,28,0.7580000023841857
hyb_vehicles1_to_vehicles2_E8_K4_F1_ep30_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,30,1,hybrid_transfer,8,4,1,30,0.7919999952316285,0.8059999928474426,27,0.7919999952316285
hyb_vehicles1_to_vehicles2_E8_K4_F2_ep30_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,30,1,hybrid_transfer,8,4,2,30,0.8080000019073487,0.8080000042915344,26,0.8080000019073487
hyb_vehicles1_to_vehicles2_E8_K4_F3_ep30_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,30,1,hybrid_transfer,8,4,3,30,0.788,0.8220000042915344,28,0.788
fix_vehicles1_to_vehicles2_E8_K4_F4_ep30_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,30,1,hybrid_transfer,8,4,4,30,0.7859999928474426,0.7979999928474426,26,0.7859999928474426
dyn_vehicles1_to_vehicles2_E16_K4_ep30_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,30,1,target_dynamic,16,4,0,21,0.7679999957084656,0.8020000047683716,27,0.8
hyb_vehicles1_to_vehicles2_E16_K4_F1_ep30_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,30,1,hybrid_transfer,16,4,1,23,0.7779999952316284,0.8239999971389771,27,0.8219999928474426
hyb_vehicles1_to_vehicles2_E16_K4_F2_ep30_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,30,1,hybrid_transfer,16,4,2,19,0.7619999980926514,0.8199999928474426,30,0.8199999928474426
hyb_vehicles1_to_vehicles2_E16_K4_F3_ep30_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,30,1,hybrid_transfer,16,4,3,27,0.8220000042915344,0.8259999952316284,30,0.8259999952316284
fix_vehicles1_to_vehicles2_E16_K4_F4_ep30_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,30,1,hybrid_transfer,16,4,4,29,0.798,0.8180000042915344,27,0.8179999952316284
dyn_vehicles1_to_vehicles2_E16_K6_ep30_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,30,1,target_dynamic,16,6,0,29,0.8140000047683715,0.8140000047683715,29,0.8039999976158142
hyb_vehicles1_to_vehicles2_E16_K6_F1_ep30_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,30,1,hybrid_transfer,16,6,1,21,0.7819999952316284,0.8119999928474426,30,0.8119999928474426
hyb_vehicles1_to_vehicles2_E16_K6_F2_ep30_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,30,1,hybrid_transfer,16,6,2,21,0.7839999928474426,0.8019999995231628,27,0.7639999933242798
hyb_vehicles1_to_vehicles2_E16_K6_F4_ep30_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,30,1,hybrid_transfer,16,6,4,22,0.7500000023841857,0.8339999947547913,27,0.7819999952316284
