pair_id,source_task,target_task,num_experts,top_k,best_fixed_k,best_fixed_ratio,best_mode,best_mean_acc,best_std_acc,num_seeds
p01_vehicles1_to_vehicles2,vehicles1,vehicles2,8,4,1,0.25,hybrid_transfer,0.6840000033378602,,1
p01_vehicles1_to_vehicles2,vehicles1,vehicles2,16,4,2,0.5,hybrid_transfer,0.6999999957084656,,1
p01_vehicles1_to_vehicles2,vehicles1,vehicles2,16,6,1,0.16666666666666666,hybrid_transfer,0.7279999933242798,,1
p01_vehicles1_to_vehicles2,vehicles1,vehicles2,16,8,0,0.0,target_dynamic,0.7280000023841858,,1
p01_vehicles1_to_vehicles2,vehicles1,vehicles2,32,4,1,0.25,hybrid_transfer,0.6820000052452088,,1
p01_vehicles1_to_vehicles2,vehicles1,vehicles2,32,6,1,0.16666666666666666,hybrid_transfer,0.6759999961853027,,1
p01_vehicles1_to_vehicles2,vehicles1,vehicles2,32,8,0,0.0,target_dynamic,0.6880000028610229,,1
p01_vehicles2_to_vehicles1,vehicles2,vehicles1,8,4,4,1.0,hybrid_transfer,0.5940000014305115,,1
p01_vehicles2_to_vehicles1,vehicles2,vehicles1,16,4,4,1.0,hybrid_transfer,0.6000000014305115,,1
p01_vehicles2_to_vehicles1,vehicles2,vehicles1,16,6,1,0.16666666666666666,hybrid_transfer,0.5720000038146973,,1
p01_vehicles2_to_vehicles1,vehicles2,vehicles1,16,8,0,0.0,target_dynamic,0.5880000038146973,,1
p01_vehicles2_to_vehicles1,vehicles2,vehicles1,32,4,3,0.75,hybrid_transfer,0.6040000033378601,,1
p01_vehicles2_to_vehicles1,vehicles2,vehicles1,32,6,6,1.0,hybrid_transfer,0.6100000014305115,,1
p01_vehicles2_to_vehicles1,vehicles2,vehicles1,32,8,1,0.125,hybrid_transfer,0.6059999942779541,,1
p02_aquatic_mammals_to_fish,aquatic_mammals,fish,8,4,2,0.5,hybrid_transfer,0.665999993801117,,1
p02_aquatic_mammals_to_fish,aquatic_mammals,fish,16,4,0,0.0,target_dynamic,0.651999993801117,,1
p02_aquatic_mammals_to_fish,aquatic_mammals,fish,16,6,2,0.3333333333333333,hybrid_transfer,0.6680000052452088,,1
p02_aquatic_mammals_to_fish,aquatic_mammals,fish,16,8,8,1.0,hybrid_transfer,0.6440000033378601,,1
p02_aquatic_mammals_to_fish,aquatic_mammals,fish,32,4,4,1.0,hybrid_transfer,0.6620000004768372,,1
p02_aquatic_mammals_to_fish,aquatic_mammals,fish,32,6,0,0.0,target_dynamic,0.6159999985694885,,1
p02_aquatic_mammals_to_fish,aquatic_mammals,fish,32,8,2,0.25,hybrid_transfer,0.634000002861023,,1
p02_fish_to_aquatic_mammals,fish,aquatic_mammals,8,4,3,0.75,hybrid_transfer,0.48400000190734865,,1
p02_fish_to_aquatic_mammals,fish,aquatic_mammals,16,4,4,1.0,hybrid_transfer,0.4940000042915344,,1
p02_fish_to_aquatic_mammals,fish,aquatic_mammals,16,6,1,0.16666666666666666,hybrid_transfer,0.48400000190734865,,1
p02_fish_to_aquatic_mammals,fish,aquatic_mammals,16,8,4,0.5,hybrid_transfer,0.4899999928474426,,1
p02_fish_to_aquatic_mammals,fish,aquatic_mammals,32,4,4,1.0,hybrid_transfer,0.4779999952316284,,1
p02_fish_to_aquatic_mammals,fish,aquatic_mammals,32,6,4,0.6666666666666666,hybrid_transfer,0.4719999976158142,,1
p02_fish_to_aquatic_mammals,fish,aquatic_mammals,32,8,8,1.0,hybrid_transfer,0.47399999284744265,,1
p03_flowers_to_trees,flowers,trees,8,4,2,0.5,hybrid_transfer,0.5520000042915344,,1
p03_flowers_to_trees,flowers,trees,16,4,1,0.25,hybrid_transfer,0.5359999928474426,,1
p03_flowers_to_trees,flowers,trees,16,6,4,0.6666666666666666,hybrid_transfer,0.5460000042915344,,1
p03_flowers_to_trees,flowers,trees,16,8,8,1.0,hybrid_transfer,0.5439999971389771,,1
p03_flowers_to_trees,flowers,trees,32,4,4,1.0,hybrid_transfer,0.5020000002384186,,1
p03_flowers_to_trees,flowers,trees,32,6,2,0.3333333333333333,hybrid_transfer,0.5460000019073487,,1
p03_flowers_to_trees,flowers,trees,32,8,2,0.25,hybrid_transfer,0.5260000019073486,,1
p03_trees_to_flowers,trees,flowers,8,4,3,0.75,hybrid_transfer,0.6280000052452087,,1
p03_trees_to_flowers,trees,flowers,16,4,0,0.0,target_dynamic,0.621999994277954,,1
p03_trees_to_flowers,trees,flowers,16,6,2,0.3333333333333333,hybrid_transfer,0.622000005722046,,1
p03_trees_to_flowers,trees,flowers,16,8,2,0.25,hybrid_transfer,0.6219999966621399,,1
p03_trees_to_flowers,trees,flowers,32,4,1,0.25,hybrid_transfer,0.584000006198883,,1
p03_trees_to_flowers,trees,flowers,32,6,1,0.16666666666666666,hybrid_transfer,0.5759999966621399,,1
p03_trees_to_flowers,trees,flowers,32,8,8,1.0,hybrid_transfer,0.6299999938011169,,1
p04_insects_to_non_insect_invertebrates,insects,non_insect_invertebrates,8,4,4,1.0,hybrid_transfer,0.506,,1
p04_insects_to_non_insect_invertebrates,insects,non_insect_invertebrates,16,4,2,0.5,hybrid_transfer,0.5199999952316284,,1
p04_insects_to_non_insect_invertebrates,insects,non_insect_invertebrates,16,6,0,0.0,target_dynamic,0.5000000023841857,,1
p04_insects_to_non_insect_invertebrates,insects,non_insect_invertebrates,16,8,6,0.75,hybrid_transfer,0.5100000042915345,,1
