run_id,mode,E,K,F,best_val_epoch,best_val_acc,best_test_acc,final_test_acc,final_test_macro_f1,final_test_loss,routing_entropy,fixed_experts
dyn_vehicles1_to_vehicles2_E8_K4_ep40_s1,target_dynamic,8,4,0,29,0.792,0.786,0.826,0.8258,0.6226,1.266,
hyb_vehicles1_to_vehicles2_E8_K4_F1_ep40_s1,hybrid_transfer,8,4,1,32,0.784,0.804,0.826,0.8254,0.7024,1.2739,5
hyb_vehicles1_to_vehicles2_E8_K4_F2_ep40_s1,hybrid_transfer,8,4,2,36,0.804,0.776,0.85,0.8496,0.5419,1.3021,"5,6"
hyb_vehicles1_to_vehicles2_E8_K4_F3_ep40_s1,hybrid_transfer,8,4,3,39,0.792,0.81,0.818,0.8176,0.6437,1.205,"5,6,4"
fix_vehicles1_to_vehicles2_E8_K4_F4_ep40_s1,hybrid_transfer,8,4,4,31,0.808,0.778,0.822,0.8219,0.5823,1.6687,"5,6,4,2"
dyn_vehicles1_to_vehicles2_E16_K4_ep40_s1,target_dynamic,16,4,0,34,0.82,0.756,0.75,0.7454,0.6959,2.0218,
hyb_vehicles1_to_vehicles2_E16_K4_F1_ep40_s1,hybrid_transfer,16,4,1,40,0.812,0.826,0.826,0.8261,0.5939,1.9663,6
hyb_vehicles1_to_vehicles2_E16_K4_F2_ep40_s1,hybrid_transfer,16,4,2,40,0.816,0.808,0.808,0.8058,0.6062,1.8862,"6,14"
hyb_vehicles1_to_vehicles2_E16_K4_F3_ep40_s1,hybrid_transfer,16,4,3,34,0.824,0.8,0.798,0.7963,0.6496,1.9176,"6,14,7"
fix_vehicles1_to_vehicles2_E16_K4_F4_ep40_s1,hybrid_transfer,16,4,4,32,0.812,0.806,0.722,0.717,0.8489,2.5202,"6,14,7,2"
dyn_vehicles1_to_vehicles2_E16_K6_ep40_s1,target_dynamic,16,6,0,21,0.8,0.782,0.794,0.7935,0.6849,1.8826,
hyb_vehicles1_to_vehicles2_E16_K6_F1_ep40_s1,hybrid_transfer,16,6,1,29,0.812,0.81,0.804,0.8029,0.6262,2.0053,10
hyb_vehicles1_to_vehicles2_E16_K6_F2_ep40_s1,hybrid_transfer,16,6,2,31,0.824,0.8,0.764,0.7575,0.7026,1.9639,"10,4"
hyb_vehicles1_to_vehicles2_E16_K6_F4_ep40_s1,hybrid_transfer,16,6,4,39,0.796,0.758,0.764,0.7565,0.7666,1.9109,"10,4,6,7"
fix_vehicles1_to_vehicles2_E16_K6_F6_ep40_s1,hybrid_transfer,16,6,6,38,0.796,0.824,0.748,0.7388,0.788,2.4404,"10,4,6,7,15,11"
dyn_vehicles1_to_vehicles2_E16_K8_ep40_s1,target_dynamic,16,8,0,36,0.804,0.794,0.82,0.8189,0.6054,1.9947,
hyb_vehicles1_to_vehicles2_E16_K8_F1_ep40_s1,hybrid_transfer,16,8,1,31,0.796,0.816,0.79,0.7874,0.6598,2.0334,6
hyb_vehicles1_to_vehicles2_E16_K8_F2_ep40_s1,hybrid_transfer,16,8,2,36,0.82,0.812,0.82,0.8196,0.5574,1.9857,"6,2"
hyb_vehicles1_to_vehicles2_E16_K8_F4_ep40_s1,hybrid_transfer,16,8,4,34,0.816,0.82,0.81,0.8085,0.6473,2.0494,"6,2,14,7"
hyb_vehicles1_to_vehicles2_E16_K8_F6_ep40_s1,hybrid_transfer,16,8,6,27,0.808,0.806,0.77,0.7662,0.7171,1.9808,"6,2,14,7,15,4"
fix_vehicles1_to_vehicles2_E16_K8_F8_ep40_s1,hybrid_transfer,16,8,8,36,0.796,0.82,0.782,0.7804,0.6808,2.3021,"6,2,14,7,15,4,11,13"
dyn_vehicles1_to_vehicles2_E32_K4_ep40_s1,target_dynamic,32,4,0,38,0.82,0.818,0.794,0.7924,0.6681,2.7452,
hyb_vehicles1_to_vehicles2_E32_K4_F1_ep40_s1,hybrid_transfer,32,4,1,27,0.808,0.812,0.776,0.7714,0.738,2.6541,23
hyb_vehicles1_to_vehicles2_E32_K4_F2_ep40_s1,hybrid_transfer,32,4,2,38,0.82,0.834,0.778,0.7715,0.7926,2.7253,"23,14"
hyb_vehicles1_to_vehicles2_E32_K4_F3_ep40_s1,hybrid_transfer,32,4,3,38,0.82,0.84,0.794,0.7931,0.6415,2.3963,"23,14,4"
fix_vehicles1_to_vehicles2_E32_K4_F4_ep40_s1,hybrid_transfer,32,4,4,30,0.816,0.814,0.786,0.78,0.7818,3.3484,"23,14,4,28"
dyn_vehicles1_to_vehicles2_E32_K6_ep40_s1,target_dynamic,32,6,0,36,0.796,0.768,0.778,0.7714,0.7343,2.7747,
hyb_vehicles1_to_vehicles2_E32_K6_F1_ep40_s1,hybrid_transfer,32,6,1,37,0.832,0.802,0.794,0.7884,0.7091,2.7909,23
hyb_vehicles1_to_vehicles2_E32_K6_F2_ep40_s1,hybrid_transfer,32,6,2,36,0.812,0.76,0.798,0.795,0.6512,2.678,"23,14"
hyb_vehicles1_to_vehicles2_E32_K6_F4_ep40_s1,hybrid_transfer,32,6,4,34,0.8,0.782,0.754,0.7427,0.7868,2.8016,"23,14,5,7"
fix_vehicles1_to_vehicles2_E32_K6_F6_ep40_s1,hybrid_transfer,32,6,6,38,0.808,0.818,0.78,0.768,0.8076,3.2795,"23,14,5,7,3,18"
dyn_vehicles1_to_vehicles2_E32_K8_ep40_s1,target_dynamic,32,8,0,36,0.82,0.8,0.784,0.7801,0.6969,2.8074,
hyb_vehicles1_to_vehicles2_E32_K8_F1_ep40_s1,hybrid_transfer,32,8,1,37,0.804,0.812,0.77,0.7615,0.7908,2.8261,23
hyb_vehicles1_to_vehicles2_E32_K8_F2_ep40_s1,hybrid_transfer,32,8,2,38,0.828,0.814,0.794,0.7905,0.7625,2.7136,"23,10"
hyb_vehicles1_to_vehicles2_E32_K8_F4_ep40_s1,hybrid_transfer,32,8,4,27,0.808,0.804,0.798,0.7957,0.7693,2.8275,"23,10,16,7"
hyb_vehicles1_to_vehicles2_E32_K8_F6_ep40_s1,hybrid_transfer,32,8,6,28,0.796,0.798,0.806,0.8049,0.7411,2.8248,"23,10,16,7,5,4"
fix_vehicles1_to_vehicles2_E32_K8_F8_ep40_s1,hybrid_transfer,32,8,8,38,0.832,0.826,0.78,0.7747,0.7369,3.2445,"23,10,16,7,5,4,3,6"
