run_id,mode,pair_group,pair_id,seed,source_task,target_task,task_name,num_classes,num_experts,top_k,fixed_k,dynamic_k,fixed_ratio,source_ref_run_id,source_stats_path,fixed_experts,best_val_epoch,best_val_acc,best_test_acc,best_test_macro_f1,best_test_loss,best_test_routing_entropy,final_test_acc,final_test_macro_f1,final_test_loss,final_test_routing_entropy,train_size,val_size,test_size,checkpoint_path,config_path,run_dir,log_path,fixed_experts_layer0,resolved_fixed_path
hyb_p01_vehicles1_to_vehicles2_E8_K4_F1_s1,hybrid_transfer,main_strong_6,p01_vehicles1_to_vehicles2,1,vehicles1,vehicles2,vehicles2,5,8,4,1,3,0.25,ref_vehicles1_E8_K4_s1,./results/runs/ref_vehicles1_E8_K4_s1/expert_stats_last3.json,[5],7,0.7319999837875366,0.6840000033378602,0.6854005491085322,0.8242783646583557,1.5606362521648407,0.6859999985694886,0.6845965342669253,0.8524090547561646,1.4592908322811127,2250,250,500,/root/autodl-tmp/projects/six_moe/checkpoints/hyb_p01_vehicles1_to_vehicles2_E8_K4_F1_s1/best.pt,/root/autodl-tmp/projects/six_moe/results/runs/hyb_p01_vehicles1_to_vehicles2_E8_K4_F1_s1/config_snapshot.yaml,/root/autodl-tmp/projects/six_moe/results/runs/hyb_p01_vehicles1_to_vehicles2_E8_K4_F1_s1,/root/autodl-tmp/projects/six_moe/logs/hyb_p01_vehicles1_to_vehicles2_E8_K4_F1_s1.log,5,results/runs/hyb_p01_vehicles1_to_vehicles2_E8_K4_F1_s1/resolved_fixed_experts.json
hyb_p01_vehicles1_to_vehicles2_E8_K4_F2_s1,hybrid_transfer,main_strong_6,p01_vehicles1_to_vehicles2,1,vehicles1,vehicles2,vehicles2,5,8,4,2,2,0.5,ref_vehicles1_E8_K4_s1,./results/runs/ref_vehicles1_E8_K4_s1/expert_stats_last3.json,"[5, 2]",7,0.7119999837875366,0.6639999985694885,0.6624892810983138,0.8197077550888061,1.6048547625541687,0.7159999938011169,0.7153451953057103,0.7788679232597351,1.5463719964027405,2250,250,500,/root/autodl-tmp/projects/six_moe/checkpoints/hyb_p01_vehicles1_to_vehicles2_E8_K4_F2_s1/best.pt,/root/autodl-tmp/projects/six_moe/results/runs/hyb_p01_vehicles1_to_vehicles2_E8_K4_F2_s1/config_snapshot.yaml,/root/autodl-tmp/projects/six_moe/results/runs/hyb_p01_vehicles1_to_vehicles2_E8_K4_F2_s1,/root/autodl-tmp/projects/six_moe/logs/hyb_p01_vehicles1_to_vehicles2_E8_K4_F2_s1.log,"5,2",results/runs/hyb_p01_vehicles1_to_vehicles2_E8_K4_F2_s1/resolved_fixed_experts.json
hyb_p01_vehicles1_to_vehicles2_E8_K4_F3_s1,hybrid_transfer,main_strong_6,p01_vehicles1_to_vehicles2,1,vehicles1,vehicles2,vehicles2,5,8,4,3,1,0.75,ref_vehicles1_E8_K4_s1,./results/runs/ref_vehicles1_E8_K4_s1/expert_stats_last3.json,"[5, 2, 7]",10,0.7159999842643738,0.677999993801117,0.6652122363683611,0.7922853956222534,1.733738511800766,0.677999993801117,0.6652122363683611,0.7922853956222534,1.733738511800766,2250,250,500,/root/autodl-tmp/projects/six_moe/checkpoints/hyb_p01_vehicles1_to_vehicles2_E8_K4_F3_s1/best.pt,/root/autodl-tmp/projects/six_moe/results/runs/hyb_p01_vehicles1_to_vehicles2_E8_K4_F3_s1/config_snapshot.yaml,/root/autodl-tmp/projects/six_moe/results/runs/hyb_p01_vehicles1_to_vehicles2_E8_K4_F3_s1,/root/autodl-tmp/projects/six_moe/logs/hyb_p01_vehicles1_to_vehicles2_E8_K4_F3_s1.log,"5,2,7",results/runs/hyb_p01_vehicles1_to_vehicles2_E8_K4_F3_s1/resolved_fixed_experts.json
fix_p01_vehicles1_to_vehicles2_E8_K4_F4_s1,hybrid_transfer,main_strong_6,p01_vehicles1_to_vehicles2,1,vehicles1,vehicles2,vehicles2,5,8,4,4,0,1.0,ref_vehicles1_E8_K4_s1,./results/runs/ref_vehicles1_E8_K4_s1/expert_stats_last3.json,"[5, 2, 7, 6]",7,0.7039999690055847,0.6680000052452088,0.6643727695154674,0.8568783087730407,1.7849825322628021,0.6659999985694885,0.6609466318488947,0.8453804593086243,1.75762277841568,2250,250,500,/root/autodl-tmp/projects/six_moe/checkpoints/fix_p01_vehicles1_to_vehicles2_E8_K4_F4_s1/best.pt,/root/autodl-tmp/projects/six_moe/results/runs/fix_p01_vehicles1_to_vehicles2_E8_K4_F4_s1/config_snapshot.yaml,/root/autodl-tmp/projects/six_moe/results/runs/fix_p01_vehicles1_to_vehicles2_E8_K4_F4_s1,/root/autodl-tmp/projects/six_moe/logs/fix_p01_vehicles1_to_vehicles2_E8_K4_F4_s1.log,"5,2,7,6",results/runs/fix_p01_vehicles1_to_vehicles2_E8_K4_F4_s1/resolved_fixed_experts.json
hyb_p01_vehicles1_to_vehicles2_E16_K4_F1_s1,hybrid_transfer,main_strong_6,p01_vehicles1_to_vehicles2,1,vehicles1,vehicles2,vehicles2,5,16,4,1,3,0.25,ref_vehicles1_E16_K4_s1,./results/runs/ref_vehicles1_E16_K4_s1/expert_stats_last3.json,[6],8,0.7239999642372131,0.6959999933242798,0.6923002877952135,0.801545802116394,2.339109420776367,0.6760000009536743,0.6653393541354147,0.8752103271484375,2.1422062516212463,2250,250,500,/root/autodl-tmp/projects/six_moe/checkpoints/hyb_p01_vehicles1_to_vehicles2_E16_K4_F1_s1/best.pt,/root/autodl-tmp/projects/six_moe/results/runs/hyb_p01_vehicles1_to_vehicles2_E16_K4_F1_s1/config_snapshot.yaml,/root/autodl-tmp/projects/six_moe/results/runs/hyb_p01_vehicles1_to_vehicles2_E16_K4_F1_s1,/root/autodl-tmp/projects/six_moe/logs/hyb_p01_vehicles1_to_vehicles2_E16_K4_F1_s1.log,6,results/runs/hyb_p01_vehicles1_to_vehicles2_E16_K4_F1_s1/resolved_fixed_experts.json
hyb_p01_vehicles1_to_vehicles2_E16_K4_F2_s1,hybrid_transfer,main_strong_6,p01_vehicles1_to_vehicles2,1,vehicles1,vehicles2,vehicles2,5,16,4,2,2,0.5,ref_vehicles1_E16_K4_s1,./results/runs/ref_vehicles1_E16_K4_s1/expert_stats_last3.json,"[6, 7]",8,0.707999979019165,0.6999999957084656,0.6928388068992772,0.786819034576416,2.2453688979148865,0.6800000057220459,0.6737064251898554,0.8698145871162415,2.1214364767074585,2250,250,500,/root/autodl-tmp/projects/six_moe/checkpoints/hyb_p01_vehicles1_to_vehicles2_E16_K4_F2_s1/best.pt,/root/autodl-tmp/projects/six_moe/results/runs/hyb_p01_vehicles1_to_vehicles2_E16_K4_F2_s1/config_snapshot.yaml,/root/autodl-tmp/projects/six_moe/results/runs/hyb_p01_vehicles1_to_vehicles2_E16_K4_F2_s1,/root/autodl-tmp/projects/six_moe/logs/hyb_p01_vehicles1_to_vehicles2_E16_K4_F2_s1.log,"6,7",results/runs/hyb_p01_vehicles1_to_vehicles2_E16_K4_F2_s1/resolved_fixed_experts.json
hyb_p01_vehicles1_to_vehicles2_E16_K4_F3_s1,hybrid_transfer,main_strong_6,p01_vehicles1_to_vehicles2,1,vehicles1,vehicles2,vehicles2,5,16,4,3,1,0.75,ref_vehicles1_E16_K4_s1,./results/runs/ref_vehicles1_E16_K4_s1/expert_stats_last3.json,"[6, 7, 10]",9,0.7359999880790711,0.6799999961853027,0.6809738444817609,0.7827159051895142,2.3426350951194763,0.7059999980926513,0.7052765641953596,0.7474636120796203,2.2886621952056885,2250,250,500,/root/autodl-tmp/projects/six_moe/checkpoints/hyb_p01_vehicles1_to_vehicles2_E16_K4_F3_s1/best.pt,/root/autodl-tmp/projects/six_moe/results/runs/hyb_p01_vehicles1_to_vehicles2_E16_K4_F3_s1/config_snapshot.yaml,/root/autodl-tmp/projects/six_moe/results/runs/hyb_p01_vehicles1_to_vehicles2_E16_K4_F3_s1,/root/autodl-tmp/projects/six_moe/logs/hyb_p01_vehicles1_to_vehicles2_E16_K4_F3_s1.log,"6,7,10",results/runs/hyb_p01_vehicles1_to_vehicles2_E16_K4_F3_s1/resolved_fixed_experts.json
fix_p01_vehicles1_to_vehicles2_E16_K4_F4_s1,hybrid_transfer,main_strong_6,p01_vehicles1_to_vehicles2,1,vehicles1,vehicles2,vehicles2,5,16,4,4,0,1.0,ref_vehicles1_E16_K4_s1,./results/runs/ref_vehicles1_E16_K4_s1/expert_stats_last3.json,"[6, 7, 10, 2]",8,0.7159999647140503,0.6760000052452088,0.658970635194255,0.7924062099456787,2.585671067237854,0.685999993801117,0.678453671863927,0.8167857513427734,2.533886671066284,2250,250,500,/root/autodl-tmp/projects/six_moe/checkpoints/fix_p01_vehicles1_to_vehicles2_E16_K4_F4_s1/best.pt,/root/autodl-tmp/projects/six_moe/results/runs/fix_p01_vehicles1_to_vehicles2_E16_K4_F4_s1/config_snapshot.yaml,/root/autodl-tmp/projects/six_moe/results/runs/fix_p01_vehicles1_to_vehicles2_E16_K4_F4_s1,/root/autodl-tmp/projects/six_moe/logs/fix_p01_vehicles1_to_vehicles2_E16_K4_F4_s1.log,"6,7,10,2",results/runs/fix_p01_vehicles1_to_vehicles2_E16_K4_F4_s1/resolved_fixed_experts.json
hyb_p01_vehicles1_to_vehicles2_E16_K6_F1_s1,hybrid_transfer,main_strong_6,p01_vehicles1_to_vehicles2,1,vehicles1,vehicles2,vehicles2,5,16,6,1,5,0.16666666666666666,ref_vehicles1_E16_K6_s1,./results/runs/ref_vehicles1_E16_K6_s1/expert_stats_last3.json,[10],9,0.7279999737739563,0.7279999933242798,0.7291828525493651,0.7198639717102051,2.2593502402305603,0.6579999966621399,0.6469421734958002,0.87399547290802,2.2123912572860718,2250,250,500,/root/autodl-tmp/projects/six_moe/checkpoints/hyb_p01_vehicles1_to_vehicles2_E16_K6_F1_s1/best.pt,/root/autodl-tmp/projects/six_moe/results/runs/hyb_p01_vehicles1_to_vehicles2_E16_K6_F1_s1/config_snapshot.yaml,/root/autodl-tmp/projects/six_moe/results/runs/hyb_p01_vehicles1_to_vehicles2_E16_K6_F1_s1,/root/autodl-tmp/projects/six_moe/logs/hyb_p01_vehicles1_to_vehicles2_E16_K6_F1_s1.log,10,results/runs/hyb_p01_vehicles1_to_vehicles2_E16_K6_F1_s1/resolved_fixed_experts.json
hyb_p01_vehicles1_to_vehicles2_E16_K6_F2_s1,hybrid_transfer,main_strong_6,p01_vehicles1_to_vehicles2,1,vehicles1,vehicles2,vehicles2,5,16,6,2,4,0.3333333333333333,ref_vehicles1_E16_K6_s1,./results/runs/ref_vehicles1_E16_K6_s1/expert_stats_last3.json,"[10, 6]",8,0.6959999742507934,0.655999993801117,0.6300049641707766,0.8306011686325073,2.2748411893844604,0.6440000033378601,0.6327359085902773,0.8966888504028321,2.268205404281616,2250,250,500,/root/autodl-tmp/projects/six_moe/checkpoints/hyb_p01_vehicles1_to_vehicles2_E16_K6_F2_s1/best.pt,/root/autodl-tmp/projects/six_moe/results/runs/hyb_p01_vehicles1_to_vehicles2_E16_K6_F2_s1/config_snapshot.yaml,/root/autodl-tmp/projects/six_moe/results/runs/hyb_p01_vehicles1_to_vehicles2_E16_K6_F2_s1,/root/autodl-tmp/projects/six_moe/logs/hyb_p01_vehicles1_to_vehicles2_E16_K6_F2_s1.log,"10,6",results/runs/hyb_p01_vehicles1_to_vehicles2_E16_K6_F2_s1/resolved_fixed_experts.json
