epoch,seed,run_id,mode,E,K,F,best_val_epoch,best_val_acc,best_test_acc,final_test_acc,final_test_macro_f1,final_test_loss,routing_entropy,fixed_experts
30,1,dyn_vehicles1_to_vehicles2_E8_K4_ep30_s1,target_dynamic,8,4,0,28,0.776,0.81,0.758,0.7532,0.7534,1.2623,
30,1,hyb_vehicles1_to_vehicles2_E8_K4_F1_ep30_s1,hybrid_transfer,8,4,1,30,0.78,0.792,0.792,0.7892,0.6948,1.3192,5
30,1,hyb_vehicles1_to_vehicles2_E8_K4_F2_ep30_s1,hybrid_transfer,8,4,2,30,0.788,0.808,0.808,0.8069,0.6538,1.3435,"5,4"
30,1,hyb_vehicles1_to_vehicles2_E8_K4_F3_ep30_s1,hybrid_transfer,8,4,3,30,0.78,0.788,0.788,0.7863,0.6636,1.2244,"5,4,6"
30,1,fix_vehicles1_to_vehicles2_E8_K4_F4_ep30_s1,hybrid_transfer,8,4,4,30,0.772,0.786,0.786,0.7822,0.6515,1.6917,"5,4,6,2"
30,1,dyn_vehicles1_to_vehicles2_E16_K4_ep30_s1,target_dynamic,16,4,0,21,0.78,0.768,0.8,0.7989,0.5994,1.9794,
30,1,hyb_vehicles1_to_vehicles2_E16_K4_F1_ep30_s1,hybrid_transfer,16,4,1,23,0.808,0.778,0.822,0.8224,0.529,2.1379,14
30,1,hyb_vehicles1_to_vehicles2_E16_K4_F2_ep30_s1,hybrid_transfer,16,4,2,19,0.792,0.762,0.82,0.8169,0.5978,1.9158,"14,6"
30,1,hyb_vehicles1_to_vehicles2_E16_K4_F3_ep30_s1,hybrid_transfer,16,4,3,27,0.792,0.822,0.826,0.8262,0.5908,1.9374,"14,6,7"
30,1,fix_vehicles1_to_vehicles2_E16_K4_F4_ep30_s1,hybrid_transfer,16,4,4,29,0.792,0.798,0.818,0.8134,0.5377,2.6067,"14,6,7,10"
30,1,dyn_vehicles1_to_vehicles2_E16_K6_ep30_s1,target_dynamic,16,6,0,29,0.804,0.814,0.804,0.8012,0.5658,1.8999,
